,Sentence,Sentiment
1506,"SiriusXM added 465,000 net new subscribers in the first quarter of 2016 $SIRI #CEO #sales #marketresearch #tech #entrepreneur #Speaker",2
984,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,0
72,Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,1
3283,"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",1
1850,"According to Bosse , the present cooperation is beneficial to all parties , however .",2
1029,Cash Flow from Operations for the most recent quarter also reached a eight year low .,0
3699,The authorization is in force for a period of 18 months from the resolution by the General Meeting .,1
5137,"The latest date for registration is on 4 April , 2006 .",1
3169,$CTRP breaking out https://t.co/Z2je3rTKch,2
2185,"European shares plunge, roiled by BHP and oil; hopes turn to ECB",0
2889,$AAPL - Has broken its downtrend - but 200DMA proving to be stiff resistance short term. https://t.co/VlzlgvIHZV,2
4228,"`` Last year , Finnair recorded a 32.6-percent growth on the Asian sector , carrying more than 1.10 million passengers between the two continents . ''",2
2520,"Via the plant , the Belgian company will feed 8.4 MW of electricity into the distribution grid and will be able to deliver up to 14 MW of heat .",1
1434,"Ahlstrom Corporation Anne Pirila Director , Financial communications Distribution : Helsinki Stock Exchange Main media Ahlstrom in brief Ahlstrom is a leader in the development , manufacture and marketing of high performance fiber-based materials .",1
2159,Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million .,1
932,MillerCoors Board Names Gavin Hattersley Interim CEO,1
63,AstraZeneca profit down as sales of stalwarts fade,0
3833,"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",0
1028,Deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 .,1
1335,As a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds .,1
907,Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations .,1
1868,"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .",2
5572,Subscription sales decreased slightly .,1
5632,Amazon's grocery deal with Morrisons is only the beginning,2
2734,The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 .,1
4057,Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,0
5404,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .",0
3199,"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",1
2973,Demand was brisk as expected and order levels have remained high .,2
3823,Short more $FAZ for all who don't know that means markets will tank now :-p,0
3585,"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",2
2009,$BAC $ADSK $NFLX long this morning,2
66,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",0
3840,"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .",2
4280,Both sources said Nokia would unveil its new phone code-named `` Tube '' on Oct. 2 at an analyst and media event in London .,1
59,"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",1
1376,"FDA approves NPS drug, in move validating Shire takeover deal",2
4256,"Raute , headquartered in Nastola , Finland , is a technology company serving the wood products industry worldwide .",1
3202,"Sampo Group that has become a major shareholder in Nordea owns TrygVesta 's main competitor , If P & C Insurance .",1
4628,"Risto Raty , Tekla 's executive vice president , said that Tekla Structures and ArchiCAD will cover the entire design and documentation workflow throughout a construction project .",1
415,"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .",1
2893,Reed Elsevier share price slides on underwhelming full-year results,0
5538,Also the development of online businesses will continue .,1
2671,"In Switzerland , Teleste have been an established supplier of products for a long time and its primary customers include cable and fiber-to-the-home ( FTTH ) operators .",1
640,"The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % .",1
2540,Valeant Said to Name New CEO With Pearson Still Hospitalized,1
1382,$TWTR The best scenario going forward is this stock slowly falling everyday....Which is quite probable...,0
3067,"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",1
4355,Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,1
4064,London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,2
1784,"The order includes a steel frame , load-bearing roof structures and partition wall elements , and Rautaruukki said it expects to complete installation as early as May next year .",1
4271,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,2
4608,About Dopplr Dopplr is a service for smart travellers .,1
4774,"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland .",1
3815,Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,1
2898,The estimated value of the deal is USD 9.2 million .,1
1018,credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) said today it concluded a EUR74m revolving credit facility agreement with its core banks .,2
5795,"In 2009 , it reported net sales of approximately EUR 6mn .",1
3185,Finland-based international machinery rental company Ramirent Plc ( OMX Helsinki : RMR1V ) reported on Friday ( 15 August ) an operating profit of EUR65 .0 m on net sales of EUR342 .9 m for the period January-June 2008 .,1
3023,"Chic and cheerful , Finnish design house Marimekko has been sending its geometric textiles out into the world for the past 60 years .",1
1933,$TSLA stock gaining steam... Plus other notable moves from this week: https://t.co/Hz0wdp5za1,2
356,The business section also includes Ahlstrom 's sustainability report .,1
2624,VIVUS $VVUS bear raid in effect. Stock down 12%,0
561,The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed .,1
15,$FB gone green on day,2
821,"The report examines the medical equipment business structure and operations , history and products , and provides an analysis of its key medical equipment revenue lines .",1
1365,"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 .",1
3201,UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,0
2310,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,2
2743,The value of the contracts is about EUR 3.3 mn .,1
1151,"On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines .",1
906,"In a release , the Company said that Vocollect T2 customers in North America can now take advantage of its Voice Directed Warehousing solution and increase warehouse efficiency and productivity gains at a discounted price .",2
5449,Rubin says he expects Capman to announce 1-2 additional transactions in 2009 .,1
1359,SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) .,2
902,Profit for the period fell to EUR 1.6 mn from EUR 7.5 mn in January-September 2008 .,0
911,The price of GMO soy is 5 % -7 % lower than that of non-GMO .,1
2464,And U.S. energy executives say high steel prices are threatening energy exploration .,1
636,"The most interesting export markets will be Russia , the Baltic countries and Scandinavia .",1
4547,"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",1
1389,"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 .",0
2051,This corresponds to 6.81 percent of Okmetic 's share capital and voting rights .,1
733,"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",2
490,"Kesko Agro Lietuva , the agricultural machinery and grain trader and another member of the Kesko Group , boosted its sales by 42.9 percent to 13.4 million euros , VAT inclusive .",2
4155,"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor .",1
5823,"Therefore , Phase III of the research will not be conducted by Abbott .",1
4255,"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .",1
3726,"Kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers .",2
1209,"Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries .",1
5114,$AMRN Got sell signal 7/1/14 still in force with target below 1.50,0
2583,Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,2
2039,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",2
5433,The shares represented 4.998 % of total share capital and 2.14 % of total voting rights .,1
2655,Can Christmas Save Sainsbury's plc And Tesco plc?,0
2813,"$IFF technical alerts: Stochastic Sell Signal, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY",0
1446,@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,0
1928,"Our key geographical markets are Europe , Russian Federation , Middle-East , South-Africa and Japan .",1
5504,Arm profits and sales up as shift away from mobile gains pace,2
4436,"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .",1
4201,CompaniesCar insurer Hastings Group driving Â£180m IPO,2
3682,"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .",2
3686,"The contract covers turnkey deliveries to all five airports operated by the authority -- John F Kennedy , LaGuardia , Newark , Teterboro and Stewart International .",1
2801,"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila .",2
4670,"`` As defences mature , attackers develop Trojans that are equipped with content filters to detect online banking activity for capturing account details using methods such as form grabbing , screen shots , video captures , keylogging and injection of form fields .",1
430,Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,2
5822,"At end-August , Sampo was Nordea 's biggest shareholder with a 20.6 % stake , followed by the state with 19.9 % .",1
4447,"Look out for vintage fabric cushion covers , '70s coffee pots , ceramic serving dishes , cocktail glasses , and stainless steel party dishes .",1
2949,"Broker tips: RBS, Croda, Sage",2
156,That topped consensus forecasts for earnings of 0.21 euros a share .,2
912,"Finland 's Nokian Tyres and Kazakhstan 's Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires , Ordabasy chairman Dinmukhamet Idrisov said at a press conference .",2
5826,The machinery now ordered will be placed in a new mill with an annual production capacity of 40 000 m3 of overlaid birch plywood .,1
2568,"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .",0
1967,#LongPos $TSLA 256 Break-out thru 50 & 200- DMA (197-230) upper head res (274-279) Short squeeze in progress Nr term obj: 310 Stop loss:239,2
1587,We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,1
2628,Fortum is now considering taking part in nuclear energy projects outside of Finland .,1
2409,"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",0
3271,The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .,1
5101,LSE-Deutsche Boerse merger would signal end to exchange mega-deals,2
3006,"Elite Residence Tower , a new development by Tameer , is located at the heart of Dubai Marina .",1
5365,3rd red day in a row ? $TSLA,0
2969,REFILE-Hikma and Barclays help Britain's FTSE to climb higher,2
3313,EBIT margin was up from 1.4 % to 5.1 % .,2
2146,"Tecnomen 's system features a new range of value-added services for prepaid and post-paid billing , charging and rating of voice calls , data traffic , or any kind of content services in both mobile and fixed networks .",1
3621,The new shares entitle their holders to dividends for fiscal 2006 .,1
4847,"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",0
3553,Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .,0
2572,"The Vuokatti unit will be developed to focus especially on the manufacture of prototypes , the ramp-up of new products and the demanding testing and after-sales services .",1
2910,The financial details of the transaction were not disclosed .,1
1180,"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",0
1174,"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",2
4785,"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 .",1
5047,"The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option .",1
508,"Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+®cs , where the company has two plants .",2
2581,"2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year .",2
3787,"However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect .",0
1618,Activities range from the development of natural resources to the retailed marketing of finished products .,1
2952,$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,2
3644,"Exel Composites ' long-term growth prospects remain favourable , however .",2
4923,"UPM-Kymmene www.upm-kymmene.com produces magazine papers and newsprint , as well as fine and specialty papers , converting materials and wood products .",1
2833,The objective of the St. Petersburg office is first to boost the Company 's maintenance business .,1
2386,In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,1
1921,Also construction expenses have gone up in Russia .,0
4428,"In Penttil+ñ 's vision , the most important reason for the transaction is Russia .",1
5438,55 workers in +àm+Ñl will be affected by the close-down .,1
851,"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .",0
298,The name of the buyer was not disclosed .,1
857,"About 72 % of Evraz Group shares are owned by Lanebrook , whose beneficiaries , on the one hand , are Millhouse , the holding company for the assets of billionaire Roman Abramovich and his business partners 50 % ; and Evraz executives Alexander Abramov and Alexander Frolov 50 % , on the other .",1
5169,"Apartments of YIT Home may be purchased in 5 regions of Russia , where YIT subsidiaries carry out their activities : Moscow and Moscow region , St. Petersburg , Ekaterinburg , Kazan and Rostov-on-Don .",1
5147,"$HLF shorts made a killing last couple days, might make more if cover and buy back?",0
4163,WPP wins race for 'programmatic buying' agency Essence Digital,2
1240,"The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40.000 for the Chairman of the Board , EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board .",1
2130,"According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production .",2
1573,"In Finland , OP-Pohjola 's staff union is boycotting the group 's insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages .",1
1374,Morrisons faces festive sales test,0
1480,"LLC , a voice and data management solution provider to wireless companies with operations worldwide , will be transferring its U.S. deployment operations to the Finnish mobile giant , which includes civil works and site acquisition services .",1
1327,$NKE gapping up to all time highs http://stks.co/q1jAu #tradeideas http://stks.co/r1j6c,2
2503,"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .",2
3814,"Before FKI , John Jiang has worked in several general manager or senior business consultant positions for international companies in China .",1
3282,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",2
4270,The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News .,1
5815,The acquisition of Boomeranger Boats Oy is in line with the Done Solutions strategy of developing its business through company acquisitions .,2
4816,"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",1
1487,"$pcln back over ""up"" trendline from 10/4",2
3265,"( ADP News ) - Feb 9 , 2009 - Finnish computer services company Proha Oyj ( HEL : ART1V ) said today its net loss narrowed to EUR 113,000 ( USD 146,000 ) for 2008 from EUR 1.2 million for 2007 .",2
3274,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process .,1
2639,Also Chile is an important market area for forest machine companies .,1
2912,$NUGT Gold above 1400...wow,2
2239,Preparing for a Breakout Trade in Netflix $NFLX  https://t.co/CzHIX3tuAG $$ https://t.co/z1qb9xa4LD,2
1856,"On the other hand , Finnish sawmills ' production has decreased even more .",1
4636,"Tectia Corporation HEL : TEC1V , a provider of real-time security solutions , today announced that it has appointed LAN2LAN , a provider of IT services in the UK , to distribute its data security and manage file transfer software .",2
4342,"In the fourth quarter of 2006 , OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 .",1
1370,The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .,1
639,Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,2
4153,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",2
2281,"The latest result included per-share charges of 5 cents for stock compensation , 1 cent for research and development and 1 cent for strategic investments .",1
5,$SPY wouldn't be surprised to see a green close,2
3715,The properties were purchased from Swedish private equity real estate firm Niam and Goldman Sachs ' Whitehall Street Real Estate Funds .,1
3192,"We are very excited working with Maxis on this first commercial deployment of ` Master of Maya ' , said Joe Doering , Head of the Asia South region at Nokia Siemens Networks .",2
1116,"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",2
2537,"production facilities 6 July 2010 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will buy the former production facilities of Kuitu Finland Ltd , as part of negotiations on the option to invest in specialty cellulose fiber business .",1
5614,"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",0
4619,Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,2
2733,The proposal of the shareholders to elect Mr. Hannu Krogerus to the Board is based on his long and unrivalled experience and knowledge of all matters related to Elcoteq .,1
3522,Apple Inc.: The Rip-Roaring Rally Is Just Beginning! (AAPL) | InvestorPlace $AAPL https://t.co/jrcFC8XlY9,2
1078,"Tecnomen 's solution can be used for prepaid and post-paid billing , for charging and rating of voice and video calls , data traffic and any kind of content services in both mobile and fixed networks .",1
3573,Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components .,2
2959,Mursula said they tried to gather macro-economic perspective to see how Malaysia was doing .,1
706,The aim is to develop open-source application solutions .,1
2123,ARM Royalties Accelerate as Smartphone Market Regains Strength,2
1467,Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .,1
4677,"It now owns 80,565 shares in Amer Sports Corporation , equaling 0.11 % of the company 's share capital and voting rights .",1
2475,The Group 's revenue in 2009 amounted to EUR 70 million and the company currently employs approximately 780 people .,1
2851,The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,2
2354,Each share is entitled to one vote .,1
539,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,1
4672,"Ahlstrom 's 5,800 employees serve customers via sales offices and production facilities in more than 20 countries on six continents .",1
1539,"The operations to be sold include manufacturing units in Finland , France , Poland and Turkey , as well as sales units in Germany and Lithuania .",1
1486,"`` P&O Ferries now has a very efficient and powerful vessel for its Dover to Calais route , '' head of the shipbuilder 's Rauma yard , Timo Suistio , said .",2
4425,"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",0
3352,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,2
980,"Google, Inc. completes acquisition of ICOA, Inc. http://stks.co/nFEI $ICOA $GOOG",2
4069,"Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers .",1
5468,Veracel is preparing an appeal in the issue and has asked the court for clarification of the judgement .,1
2133,"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .",1
3826,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",2
5185,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,2
4004,Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .,2
399,"With the measures , Suominen Corporation aims to ensure the competitiveness of the Flexible Packaging business in the long term .",2
2645,Following the increase the company+óEUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,1
4333,"ACE Limited, which has a 17 year dividend growth streak, plans a 33% dividend hike: http://stks.co/1BUE $ACE",2
1061,Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,1
